Titre,Entreprise,Localisation,Date,Lien,Domaine
Responsable Commerciale,BUSINESS SOFT,Ariana - Ben Arous & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-commerciale-178375,Commercial
Chargé D´Affaires Académiques - Tunis,EDUWORLD,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/charge-affaires-academiques-tunis-191111,Commercial
Commercial en Assurance Française - Tunis,ZENITH ASSURANCE,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/commercial-assurance-francaise-tunis-202949,Commercial
Agent Immobilier - Sousse,TECNOCASA SAHLOUL GHRABI,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-immobilier-sousse-250977,Commercial
Agent Immobilier - Hammam Sousse,TECNOCASA,Mahdia - Monastir & Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-immobilier-hammam-sousse-266414,Commercial
"Aide-Comptable / Aide Financière - Ariana,Manouba,Ben Arous,Tunis",KARMA SOLUTION,Ariana - Ben Arous - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/aide-comptable-aide-financiere-arianamanoubaben-aroustunis-272983,Commercial
Assistant Administratif - Tunis,CMCI,Ariana - Ben Arous & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistant-administratif-tunis-279553,Commercial
Responsable Magasin - Tunis,CMCI,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-magasin-tunis-279554,Commercial
Gestionnaire de Comptes Clients - Poste Francophone en Full Remote - Tunis,LIGHT KITCH,Ariana & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/gestionnaire-comptes-clients-poste-francophone-full-remote-tunis-279563,Commercial
Vendeur Magasin - Tunis,CMCI,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/vendeur-magasin-tunis-279934,Commercial
Préparateur en Pharmacie - Sened,PHARMACIE DE NUIT,Gafsa,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/preparateur-pharmacie-sened-282477,Commercial
Commercial Sédentaire H/F - Tunis,RESTOCONCEPT,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/commercial-sedentaire-hf-tunis-283154,Commercial
Technico Commercial – Lustres en Bois (H/F) - Tunis,GBN DECO,Tunis & International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technico-commercial-lustres-bois-hf-tunis-283390,Commercial
Technico Commercial Meuble Design - Ariana,STANDING HOUSE,Ariana & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technico-commercial-meuble-design-ariana-283404,Commercial
Délégué Commercial - Sfax,LABORATOIRE NATURALLABO,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/delegue-commercial-sfax-283515,Commercial
Assistante en Comptabilité - Monastir,RUSPINA PAPIER,Monastir,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-comptabilite-monastir-283783,Commercial
Commercial - Tunis,ETS TUNISIA,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/commercial-tunis-284522,Commercial
Visiteur Pharmaceutique / Médical - Tunis,GROUPE M&M SANTE - MATERNA,Ariana - Ben Arous - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/visiteur-pharmaceutique-medical-tunis-284884,Commercial
Animatrice - Tunis,GROUPE M&M SANTE - MATERNA,Ariana - Ben Arous - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/animatrice-tunis-284885,Commercial
Assistante Administrative et Commerciale - Sfax,SRT,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-administrative-commerciale-sfax-284942,Commercial
"Assistante Commerciale - Ariana, Sousse, Nabeul",PLATEFORME DU VERRE,Ariana - Ben Arous - Kairouan - Manouba - Nabeul - Sousse &...,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-commerciale-ariana-sousse-nabeul-285860,Commercial
Commercial en Construction Métallique - Mnihla,SCM,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/commercial-construction-metallique-mnihla-286050,Commercial
Commerciale en Freelance - Tunis,MAISON ET VIE,Ariana & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/commerciale-freelance-tunis-286128,Commercial
Conseiller Commercial (vente) - Tunis,ESTEEXPERT TUNISIE,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/conseiller-commercial-vente-tunis-286770,Commercial
Adjointe Magasin - La Marsa,IRIS SHOES,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/adjointe-magasin-marsa-287924,Commercial
Électricien Industriel - Soliman,TIPS SARL,Nabeul,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/electricien-industriel-soliman-308398,Électrique
Technicien de Maintenance - Zi Mghira Fouchana,ETS SIALA FRERES,Ben Arous,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-maintenance-zi-mghira-fouchana-289368,Électrique
Chef D´Equipe Electricité Gros Œuvre - Dakar- Sénégal,RESIDENCES KALIA,International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/chef-equipe-electricite-gros-oeuvre-dakar-senegal-297209,Électrique
Ingénieur en Electricité - (Expatriation : DJIBOUTI),AFRICAWORK,Ariana - Béja - Ben Arous - Bizerte - Gabès - Gafsa - Jendouba,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-electricite-expatriation-djibouti-291411,Électrique
Technicien Electomecanique Plomberie - Manouba,GENERAL WATERS TUNISIE,Ariana & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-electomecanique-plomberie-manouba-290539,Électrique
