Titre,Entreprise,Localisation,Date,Lien
Électricien Industriel - Soliman,TIPS SARL,Nabeul,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/electricien-industriel-soliman-308398
Technicien de Maintenance - Zi Mghira Fouchana,ETS SIALA FRERES,Ben Arous,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-maintenance-zi-mghira-fouchana-289368
Chef D´Equipe Electricité Gros Œuvre - Dakar- Sénégal,RESIDENCES KALIA,International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/chef-equipe-electricite-gros-oeuvre-dakar-senegal-297209
Ingénieur en Electricité - (Expatriation : DJIBOUTI),AFRICAWORK,Ariana - Béja - Ben Arous - Bizerte - Gabès - Gafsa - Jendouba,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-electricite-expatriation-djibouti-291411
Technicien Electomecanique Plomberie - Manouba,GENERAL WATERS TUNISIE,Ariana & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-electomecanique-plomberie-manouba-290539
Technicien Test en Électronique - Ariana,VIGNAL 2 TUNISIE,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-test-electronique-ariana-303292
Technicien Test en Électronique - Cité Ettadhamen,VIGNAL 2 TUNISIE,Ariana - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-test-electronique-cite-ettadhamen-304280
Technicien Maintenance - La Sokra,GRAPHIKA,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-maintenance-sokra-292410
Offre de Stage – Énergie Photovoltaïque / Marketing & Communication - El Mnihla,VOLTOGREEN,Ariana & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/offre-stage-energie-photovoltaique-marketing-communication-el-mnihla-297329
Technicien Électricité – Maintenance Transformateurs et Condensateurs - Ariana,ST3E,Ariana - Ben Arous - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-electricite-maintenance-transformateurs-condensateurs-ariana-289268
Assistante Administrative - Mornag,LA TUNISO FRANCAISE D'ECLAIRAGE,Ben Arous,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-administrative-mornag-299849
Technicien Maintenance - Sfax,INNO-ENGINEERING,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-maintenance-sfax-307948
Commercial - Megrine,LUMTEC,Ariana - Ben Arous & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/commercial-megrine-309833
Commercial Terrain - Sousse,LUMTEC,Mahdia - Monastir & Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/commercial-terrain-sousse-309839
Ingénieur(e) Conseil Électricité et Fluides (MEP) - Tunis,PEP ENGINEERING,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieure-conseil-electricite-fluides-mep-tunis-302553
Technico Commercial – Lustres en Bois (H/F) - Tunis,GBN DECO,Tunis & International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technico-commercial-lustres-bois-hf-tunis-283390
Agent Back Office - Megrine,LUMTEC,Ben Arous & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-back-office-megrine-309810
Technicien (ne) Informatique et Moyens Généraux H/F - La Goulette,SEGITEC,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-ne-informatique-moyens-generaux-hf-goulette-306834
