Titre,Entreprise,Localisation,Date,Lien
Agent de Billetterie et Tourisme - Sousse,PROMIA VOYAGES,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-billetterie-tourisme-sousse-286478
"Aide Cuisinier, Commis de Cuisine - Rue De Palestine, Place Pasteur Lafayett",RESTAURANT LES DAUPHINS,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/aide-cuisinier-commis-cuisine-rue-palestine-place-pasteur-lafayett-290019
Agent Billetterie - Charguia 2,TAKE OFF TRAVEL,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-billetterie-charguia-2-294189
"Agent de Voyage Confirmé pour Réservation, Billetterie et Hôtellerie - Tunis",LEONEM TRAVEL,Ariana - Ben Arous - Manouba - Nabeul - Sousse & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-voyage-confirme-reservation-billetterie-hotellerie-tunis-297360
Chef d´Entretien - Zarzis,HORCHANI GROUP,Médenine,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/chef-entretien-zarzis-298600
Agent de Charcuterie - Sfax,SHOPPING CLUB,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-charcuterie-sfax-299401
Agent de Voyages - Monastir,STE KAYAN VOYAGES,Monastir,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-voyages-monastir-301700
Gérante D´une Maison D´Hôtes - Hammamet,DAR HAMMAMET,Nabeul,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/gerante-maison-hotes-hammamet-302312
Gestionnaire d´une Maison d´Hôtes - Hammamet,DAR HAMMAMET,Nabeul,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/gestionnaire-maison-hotes-hammamet-302314
Barista - Tunis,KFC TUNISIA,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/barista-tunis-306718
Agent de Réservation - Lac 1,TUNISIE INTERIM,Ariana - Ben Arous & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-reservation-lac-1-308983
