Titre,Entreprise,Localisation,Date,Lien
"Coordinateur Douane Import - Export Transport H/F - Tunis, Charguia 1",AGS CARTHAGO MOVING AND STORAGE,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/coordinateur-douane-import-export-transport-hf-tunis-147142
Responsable Opérations dans le Déménagement International - Tunis Carthage,AGS CARTHAGO MOVING AND STORAGE,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-operations-demenagement-international-tunis-carthage-218562
Chauffeur - Sfax,SADLIN TRANSPORT,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/chauffeur-sfax-283024
Dispatcheur Bilingue : Français et Anglais - Tunis,HAIMOUR INTERNATIONAL,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/dispatcheur-bilingue-francais-anglais-tunis-290806
Directeur Qualité - Ben Arous,PAMACO,Ariana - Ben Arous - Bizerte & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/directeur-qualite-ben-arous-294985
Livreur - Sfax,STE EXCELLENT.PMPM,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/livreur-sfax-298626
Chauffeur (H/F) - Monastir,OMH TRAVEL SERVICE,Monastir - Sousse & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/chauffeur-hf-monastir-298902
Chargé de Clientèle – Soir - Sousse,ZIGZAG DELIVERY,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/charge-clientele-soir-sousse-300290
Transitaire - Sfax Sud,SOCOMEM,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/transitaire-sfax-sud-301803
"Magasinier H/F - ZI Mghira I, Lot 120 Rue Ben Arous 2082",BONTAZ TUNISIE,Ben Arous,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/magasinier-hf-zi-mghira-i-lot-120-rue-ben-arous-2082-303243
Agent de Transit - Zone Industrielle Sidi Daoued La Marsa,BSB SA- TOYOTA,Ariana & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-transit-zone-industrielle-sidi-daoued-marsa-306685
Assistant Supply Chain - Mégrine,SGH MEDICAL PHARMA TUNISIE,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistant-supply-chain-megrine-308170
Supply Chain Manager - Jbel Ouest,BETYLE CONSULTING,Zaghouan,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/supply-chain-manager-jbel-ouest-309088
Responsable Magasin et Gestion de Stock - Jbel Ouest,BETYLE CONSULTING,Zaghouan,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-magasin-gestion-stock-jbel-ouest-309540
